Age (yrs),Ak,W/T,BOP,Gis,H/SNI,N/M,C/W,O,S
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.5,0.4,0.4,0.6,0.5,0.2,0.2,0.3,0.2
2,3.0,3.0,2.0,4.0,3.0,1.0,1.0,2.0,1.0
3,8.0,7.0,6.0,10.0,9.0,3.0,2.0,5.0,3.0
4,29.0,25.0,24.0,37.0,34.0,12.0,5.0,9.0,14.0
5,59.0,50.0,51.0,77.0,71.0,28.0,15.0,26.0,35.0
6,98.0,84.0,84.0,121.0,113.0,48.0,31.0,49.0,65.0
7,131.0,111.0,118.0,162.0,155.0,73.0,53.0,72.0,99.0
8,153.0,130.0,143.0,190.0,185.0,100.0,76.0,94.0,134.0
9,166.0,142.0,155.0,201.0,197.0,117.0,101.0,124.0,160.0
10,188.0,163.0,169.0,219.0,210.0,132.0,125.0,141.0,174.0
11,217.0,188.0,188.0,242.0,233.0,144.0,139.0,146.0,181.0
12,249.0,218.0,212.0,270.0,260.0,161.0,150.0,156.0,198.0
13,283.0,249.0,239.0,302.0,291.0,182.0,158.0,172.0,219.0
14,320.0,283.0,269.0,336.0,325.0,206.0,170.0,192.0,244.0
15,357.0,318.0,300.0,372.0,361.0,232.0,186.0,214.0,272.0
16,396.0,354.0,333.0,410.0,398.0,260.0,205.0,240.0,302.0
17,435.0,391.0,367.0,447.0,436.0,290.0,226.0,268.0,334.0
18,473.0,428.0,401.0,485.0,473.0,322.0,249.0,298.0,367.0
19,511.0,464.0,435.0,522.0,510.0,353.0,274.0,329.0,401.0
20,549.0,500.0,468.0,558.0,547.0,386.0,300.0,361.0,435.0
21,585.0,536.0,501.0,594.0,582.0,418.0,326.0,394.0,470.0
22,620.0,570.0,533.0,628.0,617.0,450.0,353.0,426.0,504.0
23,653.0,603.0,564.0,661.0,650.0,482.0,380.0,458.0,538.0
24,685.0,636.0,593.0,692.0,681.0,513.0,408.0,490.0,571.0
25,715.0,666.0,622.0,722.0,712.0,543.0,435.0,521.0,604.0
26,745.0,696.0,650.0,751.0,741.0,573.0,461.0,552.0,635.0
27,773.0,726.0,677.0,779.0,769.0,603.0,488.0,583.0,667.0
28,801.0,755.0,704.0,807.0,797.0,632.0,515.0,613.0,698.0
29,828.0,783.0,730.0,834.0,825.0,661.0,542.0,644.0,729.0
30,855.0,811.0,755.0,861.0,852.0,690.0,569.0,674.0,760.0
31,880.0,838.0,780.0,886.0,878.0,718.0,595.0,703.0,790.0
32,905.0,865.0,804.0,912.0,903.0,745.0,621.0,732.0,820.0
33,930.0,891.0,828.0,937.0,929.0,772.0,647.0,761.0,849.0
34,954.0,916.0,851.0,961.0,953.0,799.0,672.0,789.0,878.0
35,977.0,941.0,873.0,985.0,978.0,825.0,697.0,817.0,906.0
36,1000.0,965.0,896.0,1009.0,1002.0,850.0,722.0,845.0,934.0
37,1022.0,990.0,917.0,1032.0,1026.0,875.0,746.0,872.0,962.0
38,1044.0,1013.0,938.0,1055.0,1050.0,900.0,770.0,899.0,989.0
39,1066.0,1037.0,959.0,1079.0,1073.0,924.0,793.0,925.0,1016.0
40,1088.0,1060.0,980.0,1102.0,1097.0,947.0,816.0,951.0,1043.0
41,1110.0,1083.0,1001.0,1125.0,1121.0,971.0,839.0,978.0,1070.0
42,1132.0,1106.0,1021.0,1148.0,1144.0,994.0,861.0,1003.0,1097.0
43,1154.0,1130.0,1042.0,1172.0,1168.0,1016.0,883.0,1029.0,1123.0
44,1176.0,1153.0,1062.0,1196.0,1192.0,1039.0,905.0,1054.0,1149.0
45,1198.0,1176.0,1082.0,1220.0,1217.0,1061.0,926.0,1080.0,1176.0
46,1220.0,1199.0,1103.0,1244.0,1242.0,1083.0,947.0,1105.0,1202.0
47,1243.0,1223.0,1123.0,1269.0,1267.0,1105.0,967.0,1130.0,1229.0
48,1266.0,1247.0,1144.0,1295.0,1292.0,1126.0,988.0,1155.0,1255.0
49,1289.0,1272.0,1165.0,1321.0,1319.0,1148.0,1008.0,1181.0,1282.0
50,1313.0,1296.0,1187.0,1347.0,1345.0,1170.0,1028.0,1206.0,1309.0
