Age (yrs),Douglas fir,Exotic softwoods,Exotic hardwoods,Indigenous forest
0,0.0,0.0,0.0,0.0
1,0.1,0.2,0.1,0.6
2,0.1,1.0,3.0,1.2
3,0.4,3.0,13.0,2.5
4,1.0,12.0,34.0,4.6
5,2.0,26.0,63.0,7.8
6,4.0,45.0,98.0,12.1
7,7.0,63.0,137.0,17.5
8,20.0,77.0,176.0,24.0
9,33.0,87.0,214.0,31.6
10,50.0,95.0,251.0,40.2
11,69.0,106.0,286.0,49.8
12,90.0,118.0,320.0,60.3
13,113.0,132.0,351.0,71.5
14,138.0,147.0,381.0,83.3
15,165.0,163.0,409.0,95.5
16,193.0,180.0,435.0,108.1
17,222.0,197.0,459.0,120.8
18,253.0,214.0,483.0,133.6
19,268.0,232.0,505.0,146.3
20,286.0,249.0,526.0,158.7
21,307.0,266.0,546.0,170.9
22,331.0,283.0,565.0,182.6
23,355.0,299.0,584.0,193.9
24,382.0,315.0,601.0,204.7
25,409.0,330.0,618.0,215.0
26,436.0,344.0,633.0,224.6
27,445.0,359.0,648.0,233.7
28,468.0,373.0,661.0,242.2
29,493.0,387.0,674.0,250.1
30,518.0,400.0,685.0,257.5
31,545.0,414.0,696.0,264.3
32,572.0,427.0,706.0,270.6
33,597.0,440.0,714.0,276.3
34,625.0,452.0,722.0,281.6
35,650.0,465.0,729.0,286.5
36,679.0,477.0,,290.9
37,704.0,489.0,,295.0
38,730.0,501.0,,298.7
39,730.0,512.0,,302.0
40,751.0,524.0,,305.1
41,772.0,536.0,,307.8
42,794.0,547.0,,310.4
43,815.0,559.0,,312.6
44,836.0,570.0,,314.7
45,857.0,582.0,,316.5
46,878.0,593.0,,318.2
47,898.0,605.0,,319.7
48,918.0,617.0,,321.1
49,938.0,629.0,,322.3
50,957.0,641.0,,323.4
